"","name","taal","m"
"00936","আজি দক্ষিণপবনে","২ + ২ ছন্দ","তালমুক্ত"
"00956","আজি যে রজনী যায় ফিরাইব তায় কেমনে।","রূপকড়া","দাদরা"
"00959","এ পারে মুখর হল কেকা ওই, ও পারে নীরব কেন কুহু হায়।","২ + ২ ছন্দ","তালমুক্ত"
"00962","ডাকে বার বার ডাকে","ত্রিতাল","দাদরা"
"00968","নিত্য তোমার যে ফুল ফোটে ফুলবনে","একতাল","দাদরা"
"00969","এমনি করে ঘুরিব দূরে বাহিরে","ঝম্পক","দাদরা"
"00972","বিশ্বসাথে যোগে যেথায় বিহারো","কাহারবা","দাদরা"
"00973","প্রভু, আজি তোমার দক্ষিণ হাত রেখো না ঢাকি।","ত্রিতাল","কাওয়ালি(৪/৪/৪/৪)"
"00975","কত অজানারে জানাইলে তুমি, কত ঘরে দিলে ঠাঁই-","রূপকড়া","রুপকড়া"
"00977","মোরে ডাকি লয়ে যাও মুক্তদ্বারে তোমার বিশ্বের সভাতে","তেওরা","তেওড়া"
"00979","জাগ্রত বিশ্বকোলাহল-মাঝে","চৌতাল","দাদরা"
"00981","ডুবি অমৃতপাথারে-- যাই ভুলে চরাচর","চৌতাল","দাদরা"
"00985","জয় তব বিচিত্র আনন্দ, হে কবি","তেওরা","দাদরা"
"00987","রাখো রাখো রে জীবনে জীবনবল্লভে","ত্রিতাল","দাদরা"
"00989","ওই শুনি যেন চরণধ্বনি রে","কাহারবা","দাদরা"
"00990","বেঁধেছ প্রেমের পাশে ওহে প্রেমময়।","ত্রিতাল","তিনতালা"
"00991","দাও হে আমার ভয় ভেঙে দাও।","ত্রিতাল","কাওয়ালি(৪/৪/৪/৪)"
"00993","আরো চাই যে, আরো চাই গো-- আরো যে চাই।","কাহারবা","দাদরা"
"01000","যদি ঝড়ের মেঘের মতো আমি ধাই চঞ্চল-অন্তর","ত্রিতাল","তিনতালা"
"01003","মাঝে মাঝে তব দেখা পাই, চিরদিন কেন পাই না?","দাদরা","একতালা"
"01007","অসীম আকাশে অগণ্য কিরণ, কত গ্রহ উপগ্রহ","চৌতাল","দাদরা"
"01013","আজ যেমন ক'রে গাইছে আকাশ তেমনি ক'রে গাও গো।","মুক্তছন্দ","তালমুক্ত"
"01019","আমার এই রিক্ত ডালি দিব তোমারি পায়ে।","খেমটা","দাদরা"
"01023","আমার মন চেয়ে রয় মনে মনে হেরে মাধুরী।","তেওরা","তেওড়া"
"01030","আমি হৃদয়ের কথা বলিতে ব্যাকুল, শুধাইল না কেহ।","একতাল","দাদরা"
"01031","আয় তবে সহচরী, হাতে হাতে ধরি ধরি","ত্রিতাল","তিনতালা"
"01034","একদা তুমি, প্রিয়ে, আমারি এ তরুমূলে","অর্ধঝাঁপ","দাদরা"
"01036","এখনো তারে চোখে দেখি নি, শুধু বাঁশি শুনেছি-","ত্রিতাল","কাওয়ালি(৪/৪/৪/৪)"
"01043","ও দেখা দিয়ে যে চলে গেল ও চুপিচুপি কী বলে গেল।","অর্ধঝাঁপ","সুরফাঁক(৫/৫)"
"01057","কী সুর বাজে আমার প্রাণে আমিই জানি, মনই জানে॥","ত্রিতাল","কাওয়ালি(৪/৪/৪/৪)"
"01060","কে ডাকে। আমি কভু ফিরে নাহি চাই।","ত্রিতাল","দাদরা"
"01076","তারে কেমনে ধরিবে, সখী, যদি ধরা দিলে।","কাহারবা","দাদরা"
"01077","তারে দেখাতে পরি নে কেন প্রাণ খুলে গো।","ঝাঁপতাল","দাদরা"
"01082","তোমার গীতি জাগালো স্মৃতি নয়ন ছলছলিয়া","তেওরা","রুপক(৩/৪)"
"01085","দিনের পরে দিন যে গেল আঁধার ঘরে","দাদরা","কাহারবা"
"01086","দিবস রজনী আমি যেন কার আশায় আশায় থাকি।","ত্রিতাল","দাদরা"
"01087","দীপ নিবে গেছে মম নিশীথসমীরে","অর্ধঝাঁপ","দাদরা"
"01088","দূরের বন্ধু সুরের দূতীরে পাঠালো তোমার ঘরে।","দাদরা","কাহারবা"
"01099","নিমেষের তরে শরমে বাধিল, মরমের কথা হল না।","কাহারবা","দাদরা"
"01106","প্রাণ চায় চক্ষু না চায়, মরি একি তোর দুস্তরলজ্জা।","ত্রিতাল","দাদরা"
"01108","প্রেমের ফাঁদ পাতা ভুবনে।","তেওরা","দাদরা"
"01109","ফিরবে না তা জানি, তা জানি-","ষষ্ঠী","দাদরা"
