"id","name","taal","abartan","tableWidth"
"00315","তুমি সন্ধ্যার মেঘমালা  সুরান্তর","একতালা","১",17
"00316","কত কথা তারে ছিল বলিতে","কাহারবা","১",22
"00317","সুনীল সাগরের শ্যামল কিনারে","দাদরা","২",17
"00318","হে নিরুপমা, গানে যদি লাগে বিহ্বল তান","কাহারবা","২",21
"00319","অজানা খনির নূতন মণির","দাদরা","২",22
"00320","আজি এ নিরালা কুঞ্জে","দাদরা","২",17
"00321","ফিরে যাও, কেন ফিরে ফিরে যাও","অর্দ্ধঝাঁপ","৩",22
"00322","আমার জীবনপাত্র উচ্ছলিয়া মাধুরী","দাদরা","১",21
"00323","জানি জানি তুমি এসেছ এ পথে মনের ভুলে","কাহারবা","২",22
"00325","হে সখা,বারতা পেয়েছি মনে মনে","কাহারবা","২",24
"00326","যদি জানতেম আমার কিসের ব্যথা","কাহারবা","২",27
"00327","আমি যে আর সইতে পারি নে","দাদরা","২",17
"00328","আমার নয়ন তব নয়নের","দাদরা","২",17
"00329","আমরা দুজনা স্বর্গ-খেলনা গড়িব","দাদরা","২",17
"00330","আরো কিছুখন নাহয় বসিয়ো","দাদরা","২",17
"00332","আজি গোধূলিলগনে এই বাদলগগনে","দাদরা","২",18
"00333","আমি চাহিতে এসেছি শুধু একখানি মালা","দাদরা","২",17
"00335","কী রাগিনী বাজালে হৃদয়ে","একতালা","১",23
"00338","আমার মন মানে না","একতালা","১",21
"00341","সখী, পতিদিন হায় এসে ফিরে যায় কে","দাদরা","২",20
"00342","তুমি রবে নীরবে","একতালা","১",20
"00343","তোমার গোপন কথাটি, সখী, রেখো না মনে","দাদরা","১",21
"00344","এসো আমার ঘরে","দাদরা","২",17
"00345","ঘুমের ঘন গহন হতে","ঝম্পক","৩",23
"00347","এসো এসো পুরুষোত্তম","কাহারবা","১",21
"00348","আমার নিশীথরাতের বাদলধারা","কাহারবা","১",21
"00350","কেটেছে একেলা বিরহের বেলা","কাহারবা","১",21
"00353","অনেক কথা বলেছিলেম কবে তোমার কানে কানে","দাদরা","১",17
"00354","জানি তোমার অজানা নাহি গো","দাদরা","১",20
"00355","পুরানো জানিয়া চেয়ো না আমারে আধেক আঁখির কোণে","দাদরা","১",17
"00357","চপল তব নবীন আখিঁ দুটি","ঝম্পক","২",15
"00362","হৃদয়ের এ কূল ও কূল","দাদরা","১",23
"00364","আর নাই রে বেলা,","দাদরা","২",21
"00365","বেদনায় ভরে গিয়েছে পেয়ালা","তেওড়া","২",21
"00366","আমি চিনি গো চিনি তোমারে ওগো বিদেশিনী","একতালা","১",17
"00367","যা ছিল কালো-ধলো তোমার","দাদরা","২",21
"00369","আমার সকল নিয়ে বসে আছি","দাদরা","২",17
"00373","ফুল তুলিতে ভুল করেছি প্রেমের সাধনে","কাহারবা","১",24
"00374","চাঁদের হাসির বাঁধ ভেঙেছে","দাদরা","১",17
"00377","হে নবীনা","দাদরা","২",17
"00380","অনেক পাওয়ার মাঝ মাঝে","একতালা","১",17
"00381","শাঙনগগনে ঘোর ঘনঘটা","তিনতালা","১",21
"00382","গহন ঘন ছাইল গগন ঘনাইয়া","তিনতালা","১",21
"00383","বিশ্ববীণারবে বিশ্বজন মোহিছে","তালমুক্ত","১",21
"00385","ঝরঝর বরিষে বারিধারা","কাহারবা","১",21
"00386","ওই আসে ওই অতি ভৈরব","তিনতালা","১",21
"00388","মেঘের পরে মেঘ জমেছে","দাদরা","১",22
"00390","আজ বারি ঝরে ঝরঝর ভরা বাদরে","তেওড়া","১",21
"00391","আজি শ্রাবণঘনগহন মোহে গোপন চরণ ফেলে","ঝম্পক","৩",22
"00393","এসো হে এসো সজল ঘন","ঝাঁপ","১",15
"00394","আমারে যদি জাগালে আজি নাথ","ঝম্পক","১",15
